pool_index,image_id,tp,fp,fn,gt
303,4b762b230.jpg,49870,17419,0,49870
304,cc7c66720.jpg,61758,9615,929,62687
305,a135808ff.jpg,0,9067,2704,2704
306,fea2f6ad2.jpg,3613,975,188,3801
307,c4aeca424.jpg,6156,1788,494,6650
308,59c00ad1f.jpg,259,0,1333,1592
309,a129732b2.jpg,3510,161,1482,4992
310,bbebbd412.jpg,14498,458,3855,18353
311,508c739d1.jpg,73032,34117,2406,75438
312,ab4fab99e.jpg,19977,379,5467,25444
313,9eed4fc7c.jpg,3827,5493,115,3942
314,64b571a9a.jpg,24657,6648,9194,33851
315,b303bf6e5.jpg,4050,3147,1801,5851
316,4613bc12c.jpg,78202,61448,1130,79332
317,8991e4a44.jpg,3350,5900,1642,4992
318,c35fa49e2.jpg,4091,5719,6283,10374
319,c7fb9db8c.jpg,1511,1094,101,1612
320,1ef276277.jpg,2561,1592,1151,3712
321,0b5051d9f.jpg,251,145,3911,4162
322,464a009f9.jpg,265203,15509,310,265513
323,ad8744ba7.jpg,4543,909,599,5142
324,446ba8f9b.jpg,2282,879,3662,5944
325,b19fbab56.jpg,3332,4759,3800,7132
326,060c3159e.jpg,3409,10474,64,3473
327,1dd76fb74.jpg,11325,4799,4168,15493
328,a75bb4c01.jpg,2554,2954,0,2554
329,4e2e1bdb7.jpg,32439,12470,1982,34421
330,d1e1bf13e.jpg,7786,3998,7061,14847
331,e868908d6.jpg,15177,1497,1489,16666
332,7f1b37606.jpg,40248,5216,11539,51787
333,68142cad1.jpg,0,2054,3042,3042
334,1f3e0b337.jpg,0,270,2377,2377
335,a71e53574.jpg,0,171,1373,1373
336,763871334.jpg,9884,6475,2148,12032
337,c9c7d9ddb.jpg,44,484,1100,1144
338,cbcd45716.jpg,13253,2299,661,13914
339,3ecff5d55.jpg,727,2316,1019,1746
340,b35a7ff2e.jpg,478,7467,2520,2998
341,005d86c25.jpg,162931,22150,102,163033
342,e055afd50.jpg,697,922,2284,2981
343,9efbc9bb6.jpg,56413,7066,8813,65226
344,dc0c6c0de.jpg,2233,677,6086,8319
345,d5e8af85b.jpg,2922,484,1713,4635
346,a3c3733cd.jpg,160848,7764,17774,178622
347,4cca18753.jpg,3492,2634,92,3584
348,ec58aa10d.jpg,36492,5504,5232,41724
349,b2ba56cd7.jpg,25366,4157,9691,35057
350,b5b5e513b.jpg,60020,19277,2014,62034
351,cb93f342e.jpg,6144,5923,6443,12587
352,7e9c7f52d.jpg,12163,5761,1352,13515
353,8aaf235ef.jpg,17465,2547,371,17836
354,61bbee823.jpg,29,5399,6686,6715
355,3ac71c924.jpg,39960,3676,7958,47918
356,08f0b26ac.jpg,2851,1623,209,3060
357,5b6f98ba8.jpg,10914,7471,7222,18136
358,eb1f38f03.jpg,30853,11548,15857,46710
359,c21edfb97.jpg,2363,3123,7153,9516
360,1ee38e570.jpg,1873,2993,2120,3993
361,3463eedaf.jpg,3744,5691,399,4143
362,cf4008024.jpg,74007,31965,149,74156
363,bd70c4b99.jpg,61387,2554,29083,90470
364,3d4ac6276.jpg,22109,5878,9626,31735
365,471b423b1.jpg,12886,2481,111,12997
366,4ca64717c.jpg,6,713,4874,4880
367,e3e1bb16a.jpg,1672,931,1017,2689
368,4e2c9230d.jpg,82585,12848,6728,89313
369,f71c37a0f.jpg,15008,4853,522,15530
370,8abd1fbf5.jpg,262,3,1755,2017
371,e007cfe77.jpg,2038,2716,366,2404
372,7ea03b257.jpg,45662,9848,5828,51490
373,15ce9e5cf.jpg,7374,423,4257,11631
374,880f0b8cc.jpg,54164,6678,14589,68753
375,44ad9ef30.jpg,837,3021,4725,5562
376,c4d5657bc.jpg,35146,29340,619,35765
377,f6d99d582.jpg,1061,1317,1229,2290
378,4bfbe85ff.jpg,62204,38694,1303,63507
379,4f323a756.jpg,9648,1055,1682,11330
380,e685f521b.jpg,8424,854,24,8448
381,50ac457cb.jpg,2278,4389,0,2278
382,8fc4cc556.jpg,12070,11909,16,12086
383,8c3539cdd.jpg,6164,5272,6608,12772
384,08b539d11.jpg,118925,13860,13628,132553
385,7a7282702.jpg,4464,4962,2131,6595
386,286f459e6.jpg,38165,1997,9011,47176
387,86abf2aef.jpg,2414,280,2198,4612
388,30c2d753f.jpg,7127,1764,3735,10862
389,db03ee270.jpg,35749,9025,1355,37104
390,fc62ebb8b.jpg,3411,783,4955,8366
391,3f39b85b9.jpg,14497,14281,699,15196
392,f2a7da76d.jpg,987,918,140,1127
393,6aadb8486.jpg,7993,2530,12004,19997
394,09e15218c.jpg,52472,7389,7316,59788
395,f60b4d359.jpg,15924,1713,1694,17618
396,054190eb2.jpg,58519,6541,1605,60124
397,434d03372.jpg,10501,672,10855,21356
398,5a46b4407.jpg,3324,9,7613,10937
399,a39b0ef7e.jpg,0,0,630,630
400,dfc895f18.jpg,20441,1103,3732,24173
401,e806a6fd3.jpg,0,820,2012,2012
402,4bc04da70.jpg,8384,3277,46,8430
403,0f8305adb.jpg,15099,3421,568,15667
404,a5c3d1132.jpg,1931,622,2894,4825
405,822ccb565.jpg,25986,1799,5235,31221
406,1e0980950.jpg,103027,40562,8147,111174
407,f5a4016bb.jpg,4249,579,4508,8757
408,689af3e16.jpg,28860,12102,3871,32731
409,214b9bd1a.jpg,4237,1282,22038,26275
410,b1623b91f.jpg,5371,1653,11474,16845
411,5c238e376.jpg,16590,2684,3027,19617
412,301fc5e57.jpg,79122,16870,2518,81640
413,c85251430.jpg,3564,74,1185,4749
414,4dd52fc23.jpg,42563,11015,37237,79800
415,36a39e435.jpg,11502,9316,267,11769
416,2c37ea89f.jpg,2899,4126,4023,6922
417,8417eb22d.jpg,12334,2038,389,12723
418,4f7972e7c.jpg,0,6179,1484,1484
419,523fee62c.jpg,53064,8353,4644,57708
420,ed1e66f9c.jpg,39787,3209,21,39808
421,b68a9259a.jpg,31371,8936,9125,40496
422,6fcd94e33.jpg,1633,6328,2,1635
423,577afb2d8.jpg,22500,4329,2883,25383
424,a6b00abd7.jpg,4164,659,4779,8943
425,a559091c5.jpg,764,1522,616,1380
426,6915f678b.jpg,10054,1758,3645,13699
427,5b175c18c.jpg,66264,12191,13522,79786
428,71b3a6858.jpg,3398,4141,2019,5417
429,6276bd13c.jpg,998,2727,3269,4267
430,8f64891a6.jpg,8338,713,3822,12160
431,036c4e5d2.jpg,0,5243,6348,6348
432,24884c39c.jpg,21468,2603,1583,23051
433,0e106d482.jpg,2236,4035,39,2275
434,a13c52c08.jpg,470,34,1024,1494
435,dbd7ba010.jpg,30279,8946,2589,32868
436,cc9e159dd.jpg,4070,2739,3220,7290
437,1e7c529a2.jpg,1308,207,512,1820
438,2467e2b6e.jpg,9563,659,1120,10683
439,c987a8155.jpg,10630,8965,386,11016
440,c30efa47d.jpg,783,3,2014,2797
441,d6505b987.jpg,172038,7914,8607,180645
442,e741e43bd.jpg,6677,1614,1377,8054
443,eef2cc092.jpg,4357,1825,2649,7006
444,f1699cb5a.jpg,36770,26951,0,36770
445,6c62c50e3.jpg,0,0,8238,8238
446,fcd374576.jpg,3010,2560,50,3060
447,0095cd374.jpg,10175,2741,1574,11749
448,77e5c398e.jpg,103391,11983,24676,128067
449,8bb208f36.jpg,5580,11049,2963,8543
450,6e7bace88.jpg,18721,31,4494,23215
451,80f2eef6e.jpg,7327,511,4326,11653
452,32dca5f32.jpg,2836,1724,261,3097
453,5c201d9e7.jpg,1005,159,267,1272
454,5aff55ed5.jpg,10586,1253,2108,12694
455,31cf10f6e.jpg,42754,3157,5535,48289
456,4d967fdb0.jpg,12534,5997,2109,14643
457,9eb76f829.jpg,4626,3215,379,5005
458,53994e13b.jpg,5072,314,340,5412
459,30bb7b7a3.jpg,10668,900,7759,18427
460,c720250a2.jpg,5504,1072,424,5928
461,4b925c919.jpg,32539,10787,7433,39972
462,90daee822.jpg,9065,588,1138,10203
463,d67745c5b.jpg,4598,4707,0,4598
464,c7aeb9c82.jpg,35179,17374,1797,36976
465,15e21dfad.jpg,58476,5186,3691,62167
466,e56f52c1e.jpg,3112,2560,0,3112
467,a56df9123.jpg,316,3203,0,316
468,4aca6c4a7.jpg,3140,2856,963,4103
469,e7c915edc.jpg,0,2773,7919,7919
470,2c8c3cb8a.jpg,25973,2986,41705,67678
471,d169e1b81.jpg,68279,23506,32558,100837
472,c63e60886.jpg,4309,3254,9869,14178
473,48626da29.jpg,5318,4479,481,5799
474,2395db536.jpg,2986,2041,5796,8782
475,8f38c1314.jpg,18623,4366,2763,21386
476,f67e682da.jpg,57486,2878,20186,77672
477,c293952c8.jpg,11836,1900,669,12505
478,6e30a9e9f.jpg,16227,26303,9498,25725
479,713f8ef91.jpg,7624,3915,1182,8806
480,21f157362.jpg,14496,5627,4520,19016
481,09d84ff22.jpg,5541,680,5839,11380
482,df70a7e07.jpg,0,0,1305,1305
483,0e5981679.jpg,20776,4549,3387,24163
484,a81d409c6.jpg,6747,1351,556,7303
485,636214476.jpg,11321,1415,2721,14042
486,6f46868d9.jpg,7606,5713,19,7625
487,50cfeaca4.jpg,151675,17246,42263,193938
488,50ac97479.jpg,12024,3458,486,12510
489,75785b3eb.jpg,40782,1900,50,40832
490,172e692e1.jpg,10454,343,2454,12908
491,ada3dacbe.jpg,4421,232,2356,6777
492,1f4161475.jpg,0,0,4434,4434
493,568439b6c.jpg,2615,2631,1227,3842
494,8ad6069fe.jpg,278,6777,4724,5002
495,d3993f134.jpg,171560,26961,24989,196549
496,4854add54.jpg,28070,2326,3085,31155
497,ea675dd1e.jpg,51637,1904,5399,57036
498,2e8733afa.jpg,17005,5571,2279,19284
499,6ec88b7f7.jpg,20225,6435,46672,66897
500,c9091ca20.jpg,232,1742,2485,2717
501,ad5a2ea44.jpg,4473,217,391,4864
502,7a2096ee2.jpg,34324,20057,4983,39307
503,206c20ee0.jpg,50,2966,5304,5354
504,8eddcadff.jpg,60418,8817,10741,71159
505,d490180a3.jpg,4969,2732,12,4981
506,b657c7ed4.jpg,3443,3011,88,3531
507,7f281a162.jpg,3004,200,949,3953
508,2247fd7f0.jpg,4193,35,3401,7594
509,c80be4ee4.jpg,9264,2593,153,9417
510,a0c650375.jpg,5590,1001,1872,7462
511,d7749f865.jpg,106170,16919,17507,123677
512,56aaf82ea.jpg,1557,4770,0,1557
513,a4a648cf6.jpg,36279,14605,51,36330
514,3604dfc38.jpg,15572,1020,1068,16640
515,4b286bf39.jpg,10410,3393,693,11103
516,737ae5c95.jpg,62946,21890,28622,91568
517,6d6280d5e.jpg,27278,13654,1574,28852
518,c389100a5.jpg,570,1878,2395,2965
519,cef5ff47d.jpg,1859,4727,0,1859
520,6e785e50c.jpg,6061,18,1850,7911
521,eb4225311.jpg,812,791,2036,2848
522,398bf3c20.jpg,31,1142,2672,2703
523,395381ac8.jpg,357,30422,3374,3731
524,f84ae7a4b.jpg,3709,27,3346,7055
525,68c9524d6.jpg,4368,961,1286,5654
526,d3369b607.jpg,12063,4181,3766,15829
527,0534f1b45.jpg,21020,3632,13175,34195
528,d407563d4.jpg,25945,5491,5600,31545
529,1c0d8bcd0.jpg,2186,6311,88,2274
530,13ca110ae.jpg,1055,1786,11,1066
531,93b2882fd.jpg,10260,3535,2898,13158
532,a7e79695b.jpg,928,15,2024,2952
533,17d02873a.jpg,8337,1803,2163,10500
534,9553974f4.jpg,120611,47150,1304,121915
535,1287339e5.jpg,1347,3979,3737,5084
536,b9e47cf86.jpg,371,1114,1304,1675
537,2959d7fb1.jpg,2570,3703,0,2570
538,cacd251d2.jpg,3706,1776,4642,8348
539,863868ed4.jpg,2027,1708,1444,3471
540,8364cd311.jpg,22227,5479,1188,23415
541,117ddaa9f.jpg,911,3083,6302,7213
542,bfb064127.jpg,44886,15391,4946,49832
543,99923d074.jpg,5621,744,1941,7562
544,4c2b3ccc9.jpg,30940,7955,5216,36156
545,e7fb372da.jpg,6219,1418,18941,25160
546,33368929c.jpg,891,3236,11,902
547,e7d7c87e2.jpg,5464,10,5378,10842
548,409adafbe.jpg,4271,1281,74,4345
549,edcf5abf7.jpg,0,0,1443,1443
550,1ad10c316.jpg,929,1440,0,929
551,7ee479373.jpg,9596,1138,1174,10770
552,bd1e7ea2d.jpg,6474,845,5230,11704
553,b70e904f7.jpg,3823,2505,14023,17846
554,10e429bfc.jpg,2264,7300,11524,13788
555,92932546c.jpg,38559,5064,1128,39687
556,cba39a205.jpg,17388,4857,14688,32076
557,49e3afca8.jpg,37989,4310,3641,41630
558,4345db2fc.jpg,135555,12484,858,136413
559,522d34082.jpg,4347,40,4129,8476
560,d535c41bf.jpg,240431,46764,2735,243166
561,e56c928ee.jpg,43087,4864,6775,49862
562,9ddc8a514.jpg,53693,31777,1272,54965
563,aa218783a.jpg,39776,12837,2228,42004
564,c2b446019.jpg,20863,2683,2481,23344
565,dbc93dc99.jpg,10494,6665,12971,23465
566,9f34c4775.jpg,39124,21514,11130,50254
567,aefa93267.jpg,2563,2943,904,3467
568,67579f49a.jpg,99656,15036,25754,125410
569,423caf51d.jpg,7324,2644,737,8061
570,81b6f3cca.jpg,3950,3579,2444,6394
